framework,strategy,mode,property,mutation,trial,status,tests,discards,shrinking_passed,shrinking_failed,shrinking_discarded,exec_time_pre,gen_time,time_shrinking,time_pre_failure,pre_size,cex_size,gt_size,pre_ted_to_gt,ted_to_gt
Quick,Quick,none,DeleteDelete,delete_4,0,timed_out,,,,,,,0,,,0,0,29,,
Quick,QuickGbE,none,DeleteDelete,delete_4,0,Failed,15,0,0,0,0,7.90000194683671e-05,0.00051099993288517,0.0002690000692382455,0.0005899999523535371,101,101,29,80.0,80.0
Quick,QuickGbE,none,DeleteDelete,delete_4,1,Failed,172,0,0,0,0,0.001252999878488481,0.00033300009090453386,0.00028199993539601564,0.001585999969393015,381,381,29,359.0,359.0
Quick,QuickGbE,none,DeleteDelete,delete_4,2,Failed,216,0,0,0,0,0.0017939996905624866,0.00035000022035092115,0.00026000000070780516,0.002143999910913408,85,85,29,63.0,63.0
Quick,QuickGbE,none,DeleteDelete,delete_4,3,Failed,170,0,0,0,0,0.0015630001435056329,0.0003649998689070344,0.0003349999897181988,0.0019280000124126673,405,405,29,383.0,383.0
Quick,QuickGbE,none,DeleteDelete,delete_4,4,Failed,129,0,0,0,0,0.0011989998165518043,0.00031600019428879044,0.0002810000441968441,0.0015150000108405948,181,181,29,159.0,159.0
Quick,QuickGbE,none,DeleteDelete,delete_4,5,Failed,445,0,0,0,0,0.003510000533424318,0.0005629993975162497,0.00028600008226931095,0.004072999930940568,205,205,29,182.0,182.0
Quick,QuickGbE,none,DeleteDelete,delete_4,6,Failed,10,0,0,0,0,4.099996294826269e-05,0.00023600005079060793,0.00023200002033263445,0.0002770000137388706,85,85,29,63.0,63.0
Quick,QuickGbE,none,DeleteDelete,delete_4,7,Failed,12,0,0,0,0,3.999995533376932e-05,0.0002300000051036477,0.00022400007583200932,0.00026999996043741703,69,69,29,48.0,48.0
Quick,QuickGbE,none,DeleteDelete,delete_4,8,Failed,15,0,0,0,0,5.4999953135848045e-05,0.00022700009867548943,0.00022199994418770075,0.00028200005181133747,93,93,29,73.0,73.0
Quick,QuickGbE,none,DeleteDelete,delete_4,9,Failed,375,0,0,0,0,0.003222000552341342,0.00045799941290169954,0.00027600000612437725,0.0036799999652430415,413,413,29,391.0,391.0
Quick,Quick,none,DeleteModel,delete_4,0,Failed,2,11,0,0,0,4.39999857917428e-05,0.0004920000210404396,0.0002559999702498317,0.0005360000068321824,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,1,Failed,7,26,0,0,0,3.7999823689460754e-05,0.00024500011932104826,0.00022500008344650269,0.000282999943010509,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,2,Failed,11,21,0,0,0,4.499999340623617e-05,0.00023499992676079273,0.0002210000529885292,0.0002799999201670289,20,20,12,11.0,11.0
Quick,Quick,none,DeleteModel,delete_4,3,Failed,22,77,0,0,0,7.399986498057842e-05,0.00028000015299767256,0.00020700006280094385,0.000354000017978251,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,4,Failed,10,25,0,0,0,3.999995533376932e-05,0.00023600005079060793,0.00021500000730156896,0.00027600000612437725,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,5,Failed,28,65,0,0,0,8.79999715834856e-05,0.00028200005181133747,0.00022599997464567423,0.0003700000233948231,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,6,Failed,10,30,0,0,0,4.800001624971628e-05,0.0002899999963119626,0.00024099997244775295,0.0003380000125616789,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,7,Failed,9,27,0,0,0,4.499999340623617e-05,0.00025399995502084494,0.0002180000301450491,0.0002989999484270811,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,8,Failed,10,44,0,0,0,6.700004450976849e-05,0.0002479999093338847,0.0002099999692291021,0.0003149999538436532,12,12,12,3.0,3.0
Quick,Quick,none,DeleteModel,delete_4,9,Failed,12,38,0,0,0,6.699992809444666e-05,0.0002760001225396991,0.00020899996161460876,0.00034300005063414574,12,12,12,3.0,3.0
Quick,QuickGbE,none,DeleteModel,delete_4,0,Failed,1,0,0,0,0,2.1999934688210487e-05,0.00021700002253055573,0.00021500000730156896,0.0002389999572187662,12,12,12,2.0,2.0
Quick,QuickGbE,none,DeleteModel,delete_4,1,Failed,1,0,0,0,0,1.9999919459223747e-05,0.00026400003116577864,0.00020700006280094385,0.0002839999506250024,12,12,12,2.0,2.0
Quick,QuickGbE,none,DeleteModel,delete_4,2,Failed,2,0,0,0,0,2.5000073947012424e-05,0.0006069999653846025,0.0003309999592602253,0.000632000039331615,12,12,12,2.0,2.0
Quick,QuickGbE,none,DeleteModel,delete_4,3,Failed,2,0,0,0,0,2.200005110353231e-05,0.00022499996703118086,0.00022299995180219412,0.0002470000181347132,12,12,12,2.0,2.0
Quick,QuickGbE,none,DeleteModel,delete_4,4,Failed,2,0,0,0,0,2.1000043489038944e-05,0.00023099989630281925,0.00022000004537403584,0.0002519999397918582,12,12,12,0.0,0.0
Quick,QuickGbE,none,DeleteModel,delete_4,5,Failed,4,0,0,0,0,2.699985634535551e-05,0.0002190001541748643,0.0002210000529885292,0.0002460000105202198,28,28,12,18.0,18.0
Quick,QuickGbE,none,DeleteModel,delete_4,6,Failed,3,0,0,0,0,2.5999965146183968e-05,0.00022300006821751595,0.00021199998445808887,0.0002490000333636999,28,28,12,18.0,18.0
Quick,QuickGbE,none,DeleteModel,delete_4,7,Failed,3,0,0,0,0,2.49999575316906e-05,0.000215000007301569,0.0002269999822601676,0.0002399999648332596,20,20,12,11.0,11.0
Quick,QuickGbE,none,DeleteModel,delete_4,8,Failed,2,0,0,0,0,2.5000073947012424e-05,0.0002300000051036477,0.00021500000730156896,0.00025500007905066013,20,20,12,11.0,11.0
Quick,QuickGbE,none,DeleteModel,delete_4,9,Failed,3,0,0,0,0,2.49999575316906e-05,0.0002120001008734107,0.00020899996161460876,0.0002370000584051013,20,20,12,11.0,11.0
Quick,Quick,none,DeletePost,delete_4,0,Failed,8098,21203,0,0,0,0.01611400058027357,0.016469999449327588,0.00030099996365606785,0.03258400002960116,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,1,Failed,29074,75692,0,0,0,0.05417699401732534,0.054840005934238434,0.0004760000156238675,0.10901699995156378,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,2,Failed,27240,71436,0,0,0,0.05241600482258946,0.05520099517889322,0.0005179999861866236,0.10761700000148268,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,3,Failed,5885,15598,0,0,0,0.011471000383608043,0.01229199965018779,0.00026999996043741703,0.023763000033795834,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,4,Failed,1144,2977,0,0,0,0.0024829998146742582,0.002836000174283982,0.0002429999876767397,0.00531899998895824,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,5,Failed,2519,6416,0,0,0,0.005244000116363168,0.005056999856606126,0.0002559999702498317,0.010300999972969294,21,21,13,12.0,12.0
Quick,Quick,none,DeletePost,delete_4,6,Failed,13048,34371,0,0,0,0.02572500635869801,0.025541993672959507,0.0005009999731555581,0.05126700003165752,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,7,Failed,16122,42975,0,0,0,0.02950100600719452,0.031258994014933705,0.0004940000362694263,0.060760000022128224,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,8,Failed,7531,19744,0,0,0,0.0141339972615242,0.01541800273116678,0.00025299994740635157,0.02955199999269098,13,13,13,4.0,4.0
Quick,Quick,none,DeletePost,delete_4,9,Failed,4954,13026,0,0,0,0.009203995461575689,0.0101830045459792,0.00027600000612437725,0.01938700000755489,13,13,13,4.0,4.0
Quick,QuickGbE,none,DeletePost,delete_4,0,Failed,2,0,0,0,0,2.49999575316906e-05,0.00023300002794712782,0.0002139999996870756,0.0002579999854788184,21,21,13,11.0,11.0
